POS,0.40,-0.59,0.01,79
POS,0.41,-0.58,-0.02,80
POS,0.41,-0.58,0.02,80
POS,0.41,-0.59,0.02,81
POS,0.42,-0.59,0.05,79
POS,0.43,-0.59,0.04,79
POS,0.47,-0.58,-0.00,83
POS,0.48,-0.58,-0.01,78
POS,0.49,-0.58,-0.00,80
POS,0.46,-0.57,-0.04,81
POS,0.48,-0.57,-0.04,79
POS,0.49,-0.57,-0.02,79
POS,0.49,-0.58,-0.03,81
POS,0.48,-0.59,-0.00,81
POS,0.47,-0.58,-0.01,77
POS,0.47,-0.58,-0.03,79
POS,0.45,-0.58,-0.02,80
POS,0.46,-0.58,0.00,80
POS,0.50,-0.58,0.02,82
POS,0.44,-0.58,0.01,81
POS,0.42,-0.57,-0.02,80
POS,0.42,-0.58,-0.01,80
POS,0.43,-0.59,0.02,81
POS,0.41,-0.60,0.01,81
POS,0.38,-0.60,0.04,82
POS,0.45,-0.60,0.02,84
POS,0.44,-0.60,0.03,79
POS,0.41,-0.59,0.01,79
POS,0.40,-0.60,0.00,81
POS,0.41,-0.60,0.07,82
POS,0.41,-0.60,0.09,82
POS,0.40,-0.60,0.06,80
POS,0.41,-0.61,0.09,81
POS,0.44,-0.30,0.07,83
POS,0.41,-0.37,0.06,80
POS,0.42,-0.41,0.02,80
POS,0.42,-0.46,-0.00,79
POS,0.44,-0.50,0.02,82
POS,0.41,-0.53,0.04,81
POS,0.35,-0.55,0.04,84
POS,0.39,-0.56,0.07,81
POS,0.40,-0.58,0.08,81
POS,0.37,-0.59,0.05,82
POS,0.39,-0.59,0.06,81
POS,0.40,-0.60,0.04,80
POS,0.44,-0.59,0.04,80
POS,0.42,-0.60,0.05,81
POS,0.42,-0.60,0.07,81
POS,0.44,-0.61,0.09,83
POS,0.41,-0.61,0.08,81
POS,0.39,-0.60,0.03,82
POS,0.37,-0.61,0.04,83
POS,0.39,-0.62,0.05,82
POS,0.41,-0.62,0.06,81
POS,0.39,-0.62,0.08,81
POS,0.38,-0.61,0.05,79
POS,0.40,-0.61,0.06,81
POS,0.46,-0.61,0.05,85
POS,0.45,-0.62,0.07,83
POS,0.46,-0.62,0.07,82
POS,0.44,-0.62,0.05,81
POS,0.44,-0.62,0.07,82
POS,0.44,-0.63,0.08,82
POS,0.46,-0.63,0.06,83
POS,0.44,-0.63,0.06,82
POS,0.45,-0.63,0.06,82
POS,0.42,-0.63,0.07,82
POS,0.43,-0.63,0.06,82
POS,0.42,-0.64,0.05,82
POS,0.37,-0.62,0.05,82
POS,0.38,-0.63,0.06,82
POS,0.37,-0.63,0.08,83
POS,0.37,-0.63,0.07,81
POS,0.38,-0.63,0.07,82
POS,0.39,-0.62,0.12,81
POS,0.43,-0.62,0.11,83
POS,0.38,-0.62,0.09,82
POS,0.38,-0.62,0.10,81
POS,0.39,-0.63,0.10,83
POS,0.38,-0.62,0.07,80
POS,0.38,-0.63,0.07,82
